{|class="article-table sortable"
!Name
!class="unsortable"| 
!data-sort-type="number"|Age
|-
|Avi
|アヴィ
|23
|-
|Hinata
|ヒナタ
|15
|-
|Byakuyo
|白葉
|data-sort-value="99"|?
|-
|Shigure
|紫雨
|22
|-
|Kairi
|カイリ
|18
|-
|Lid
|リド
|19
|-
|Apis
|アピス
|29
|-
|Vim
|ヴィム
|23
|-
|Rufen
|ルーフェン
|17
|-
|Drei
|ドライ
|24
|-
|Sky
|澄快
|25
|-
|Sakia
|サキア
|27
|-
|Totori
|トトリ
|31
|-
|Sirius
|シリウス
|23
|-
|Rolf
|ロルフ
|10
|-
|Zwei
|ツヴァイ
|31
|-
|Guido
|グウィード
|28
|-
|Forma
|フォーマ
|24
|-
|Raith
|レイス
|26
|-
|Alfred
|アルフレッド
|38
|-
|Toni
|トニ
|17
|-
|Medi
|メディ
|20
|-
|Carlo
|カルロ
|18
|-
|Cohen
|コーエン
|27
|-
|Randa
|ランダ
|25
|-
|Sharon
|シャロン
|15
|-
|Lian
|ライアン
|29
|-
|Spica
|スピカ
|22
|-
|Aldebaran
|アルデバラン
|21
|-
|Antares
|アンタレス
|29
|-
|Stimma
|シュティマ
|23
|-
|Flu
|フリュー
|18
|-
|Lied
|リード
|20
|-
|Luke
|ルーク
|23
|-
|Kaine
|カイネ
|16
|-
|Kotohogi
|言祝
|22
|-
|Jay
|ジェイ
|39
|-
|Eins
|アインツ
|data-sort-value="99"|?
|-
|Crown
|クラウン
|26
|-
|Miya
|ミヤ
|18
|-
|Iria
|イリア
|18
|-
|Michiru
|ミチル
|16
|-
|Vairy
|ヴァイリー
|28
|-
|Sieg
|ジーク
|26
|-
|Tiga
|ティーガ
|19
|-
|Sai
|サイ
|19
|-
|Tormari
|トルマリ
|16
|-
|Almari
|アルマリ
|16
|-
|Kies
|キース
|27
|-
|Haku
|ハク
|25
|-
|Sefir
|セフィル
|25
|-
|Orion
|オリオン
|data-sort-value="99"|?
|-
|Gary
|ゲイリー
|26
|-
|Girbert
|ギルバート
|22
|-
|Haldine
|ハルディーン
|22
|-
